agri_class,DEM_mean,Slope_mean,sand_pct,clay_pct,bd_gcm3,SOC_mean
1,227.53125,2.359058918431401,41.41,26.29,1.53,30.64293410625313
1,229.203125,1.906974681653082,39.2,25.49,1.53,30.533754692950176
1,226.45833333333331,1.770704708165593,37.56,25.15,1.51,30.98402990915108
1,225.375,1.745792327448726,37.55,25.21,1.52,31.48510490987472
1,225.04166666666663,1.770636323425505,37.53,25.56,1.51,31.082700536884925
1,223.76388888888889,2.320610142416424,37.61,24.28,1.52,30.118057598950006
1,224.609375,2.577966203913093,36.7,24.96,1.51,28.0
1,223.90625,1.350917486473918,38.71,26.52,1.52,29.0
1,222.52777777777777,1.579573954145114,39.05,26.69,1.51,29.0
1,222.98611111111111,1.902961362567213,37.58,28.63,1.5,28.70794975753733
1,223.5625,2.231903605163097,39.92,26.25,1.5,29.275075224291808
1,221.33333333333331,1.714679751959112,38.8,24.21,1.5,27.91938006291123
1,222.81944444444443,1.301139626238081,37.5,23.96,1.5,27.55720744896273
1,184.9375,1.903833483872206,36.43,24.45,1.43,25.00243484127669
1,227.98611111111111,1.807728937102689,39.42,27.64,1.52,32.89049634880572
1,226.63888888888889,1.924620322883129,40.04,27.11,1.52,32.03934929477181
1,229.73611111111111,2.185717345939742,38.25,27.56,1.51,30.57117799997651
1,229.13888888888889,1.940753369695611,38.07,27.43,1.52,32.0
1,228.46913580246917,1.929572566055957,38.14,27.62,1.52,32.61964669755337
1,229.69444444444443,1.559755951993995,37.94,28.08,1.51,32.742555493611256
1,229.40277777777777,1.880474152664344,37.44,27.33,1.52,33.48094406653536
1,228.90277777777777,1.592525473899312,37.3,27.61,1.52,31.0
1,227.18055555555557,1.820523879594273,37.89,26.63,1.53,29.32976800799169
1,228.97222222222223,1.777575618690915,37.37,27.88,1.5,31.279762538357208
1,228.33333333333331,1.973767881592115,37.63,28.26,1.5,31.103061507126704
1,228.31944444444443,1.520639585951964,37.45,27.47,1.5,29.39621693219376
1,228.875,1.538756522867415,37.7,27.13,1.5,30.054673817445828
1,229.81944444444443,1.650751446684201,38.11,26.91,1.51,29.69413339169376
1,229.22222222222223,2.164016080491337,37.16,27.07,1.52,31.15402870144285
1,229.87654320987653,1.774128448815993,37.72,26.79,1.52,32.0
